service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BBL 19_20-BBL_WD-Weekday-01,1,1,1,1,1,0,0,20191101,20191231
BCC 19_20-BCC_FUL-Friday-04,0,0,0,0,1,0,0,20191101,20191227
BCC 19_20-BCC_SAT-Saturday-02,0,0,0,0,0,1,0,20191102,20191228
BCC 19_20-BCC_SUN-Sunday-03,0,0,0,0,0,0,1,20191103,20191229
BCC 19_20-BCC_FUL-M-Tu-W-Th-04,1,1,1,1,0,0,0,20191104,20191231
BCC 19_20-BCC_FUL-M-Tu-W-Th-04-0110000,0,1,1,0,0,0,0,20191104,20191231
BIC 19_20-BIC_FUL-Weekday-01,1,1,1,1,1,0,0,20191101,20191213
BIC 19_20-BIC_SAT-Saturday-01,0,0,0,0,0,1,0,20191102,20191228
BIC 19_20-BIC_SUN-Sunday-01,0,0,0,0,0,0,1,20191103,20191229
BIC 19_20-BIC_WD-Weekday-01,1,1,1,1,1,0,0,20191216,20191231
BITS 19_20-BITS_WD-Weekday-01,1,1,1,1,1,0,0,20191101,20191213
BITS 19_20-BITS_WD-Weekday-01-0000100,0,0,0,0,1,0,0,20191101,20191213
BITS 19_20-BITS_SAT-Saturday-01,0,0,0,0,0,1,0,20191102,20191228
BITS 19_20-BITS_SUN-Sunday-01,0,0,0,0,0,0,1,20191103,20191229
BITS 19_20-BITS_HSC-Weekday-01,1,1,1,1,1,0,0,20191216,20191231
BITS 19_20-BITS_HSC-Weekday-01-0000100,0,0,0,0,1,0,0,20191216,20191231
BLKS 19_20-BLINK-Weekday-03,1,1,1,1,1,0,0,20191101,20191213
BT 19_20-AUG_HUNG-Weekday-01,1,1,1,1,1,0,0,20191101,20191115
BT 19_20-AUG_HUNG-Weekday-01-0000100,0,0,0,0,1,0,0,20191101,20191115
BT 19_20-AUG_HUNG-Weekday-01-1000000,1,0,0,0,0,0,0,20191101,20191115
BT 19_20-AUG_HUNG-Weekday-01-0111100,0,1,1,1,1,0,0,20191101,20191115
BT 19_20-AUG_EXM-Saturday-01,0,0,0,0,0,1,0,20191102,20191116
BT 19_20-AUG_FUL-Sunday-01,0,0,0,0,0,0,1,20191103,20191229
